Num_Acc,road_type,road_surface,infrastructure,situation,speed_limit,road_profile,road_layout
202400000281,4,1,0,1,30,1,1
202400000282,1,1,0,1,50,2,1
202400000283,4,1,0,4,50,1,2
202400000284,4,1,9,1,50,2,1
202400000285,4,1,0,1,50,1,1
202400000286,4,1,9,4,50,2,1
202400000287,4,1,0,1,50,1,1
202400000288,4,1,0,1,50,1,1
202400000289,4,1,0,1,50,1,1
202400000290,4,1,5,5,50,1,1
202400000291,3,1,0,1,50,1,1
202400000292,4,1,0,1,50,1,1
202400000293,4,1,0,1,70,1,1
202400000294,4,1,0,1,70,1,1
202400000295,4,1,0,1,50,1,1
202400000296,4,1,0,1,70,1,1
202400000297,4,1,0,5,30,1,1
202400000298,1,1,0,1,110,1,1
202400000299,4,1,0,1,50,1,1
202400000300,1,2,0,1,90,1,1
202400000301,4,1,9,1,50,1,1
202400000302,4,1,0,5,30,1,3
202400000303,1,1,0,1,90,2,2
202400000304,4,1,0,1,50,1,1
202400000305,2,1,0,1,90,1,1
202400000306,2,1,0,1,110,1,1
202400000307,4,1,0,1,30,1,1
202400000308,1,1,0,1,90,1,1
202400000309,4,1,0,1,30,1,1
202400000310,1,2,0,1,70,1,1
202400000311,4,1,-1,5,30,1,1
202400000312,1,1,0,1,90,1,1
202400000313,4,1,0,1,30,1,2
202400000314,4,1,0,1,30,2,1
202400000315,2,1,0,1,110,1,1
202400000316,4,1,0,1,30,1,1
202400000317,4,1,0,1,70,1,2
202400000318,4,1,0,5,30,1,1
202400000319,4,1,0,1,50,1,1
202400000320,4,1,0,1,30,1,1
202400000321,4,1,0,5,30,1,1
202400000322,4,1,0,1,30,1,1
202400000323,4,1,0,5,30,1,1
202400000324,4,1,0,8,30,1,1
202400000325,2,1,5,8,20,1,1
202400000326,3,1,0,1,50,1,1
202400000327,9,2,6,8,30,1,1
202400000328,4,1,0,1,50,1,1
202400000329,4,1,6,1,50,1,2
202400000330,4,1,0,1,50,2,1
202400000331,6,1,0,8,30,2,1
202400000332,3,1,5,1,30,1,1
202400000333,4,1,5,1,50,1,1
202400000334,5,1,0,1,30,1,1
202400000335,3,1,0,1,50,1,1
202400000336,3,1,0,1,50,2,1
202400000337,2,2,3,1,50,1,1
202400000338,4,1,0,1,50,1,1
202400000339,3,2,0,1,50,1,1
202400000340,4,1,0,1,50,1,1
202400000341,3,1,0,1,50,1,1
202400000342,4,1,0,1,50,1,1
202400000343,3,1,0,1,50,1,1
202400000344,4,1,0,1,50,1,1
202400000345,4,1,0,1,50,1,1
202400000346,4,1,0,1,50,1,1
202400000347,3,1,9,4,5,1,1
202400000348,3,1,0,1,50,1,1
202400000349,3,1,0,1,50,1,1
202400000350,4,1,0,1,30,1,1
202400000351,4,1,0,1,50,1,1
202400000352,4,1,0,1,50,1,1
202400000353,3,1,6,1,50,1,1
202400000354,3,1,0,1,50,1,1
202400000355,3,1,0,1,30,1,1
202400000356,3,1,0,3,80,2,1
202400000357,3,1,2,1,80,2,1
202400000358,4,1,0,1,30,1,1
